,caseorder,customer_id,city,state,county,zip,lat,lng,population,area,timezone,job,children,age,education,employment,income,marital,gender,churn,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,contract,port_modem,tablet,internetservice,phone,multiple,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,paperlessbilling,paymentmethod,tenure,monthlycharge,bandwidth_gb_year,item1,item2,item3,item4,item5,item6,item7,item8,zscoreincome,contract_type_num
35,36,I327596,Albion,MI,Calhoun,49224,42.28109,-84.75184,14103,Suburban,America/Detroit,Outdoor activities/education manager,1.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,8283.29,Never Married,Male,Yes,13.92937482,11,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,5.478588204,162.6090148,1209.961168,4,2,3,4,3,3,4,3,-1.2880938794500079,0
36,37,U790894,Marlborough,CT,Hartford,6447,41.63306,-72.45472,6394,Suburban,America/New_York,Market researcher,2.0,26.0,Regular High School Diploma,Full Time,10114.81,Never Married,Female,Yes,44.72520233,16,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),3.312991809,258.4081654,897.5919144,4,3,5,5,2,4,5,5,-1.2135627289582376,0
37,38,O739489,Lafayette,NJ,Sussex,7848,41.10336,-74.68407,5059,Urban,America/New_York,"Surveyor, insurance",1.0,25.0,Bachelor's Degree,Full Time,39936.76222636489,Never Married,Female,No,8.15350077,9,2,0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Electronic Check,7.161561527,138.7077155,1340.930156,5,6,4,2,5,3,3,3,1.1843397656906803e-15,1
38,39,I958127,Washington,DC,District of Columbia,20017,38.93845,-76.99317,20450,Suburban,America/New_York,Office manager,1.0,66.0,"Some College, Less than 1 Year",Full Time,25397.44,Divorced,Female,No,17.68357553,12,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),9.847563364,185.8072481,1113.993679,4,4,3,4,2,4,4,5,-0.5916574282025552,2
39,40,Z666770,Dublin,PA,Bucks,18917,40.37305,-75.2041,2123,Suburban,America/New_York,Editorial assistant,1.0,72.0,Regular High School Diploma,Full Time,50336.5,Divorced,Male,No,7.790281114,10,1,1,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,16.04202196,147.2911879,1530.10769,3,4,3,6,4,4,6,2,0.42320281573870416,2
40,41,X711438,Mantoloking,NJ,Ocean,8738,40.02145,-74.06183,1164,Urban,America/New_York,Customer service manager,3.0,53.27574750830565,Regular High School Diploma,Full Time,38211.37,Divorced,Female,No,38.90533531,12,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,9.179779682,199.9341262,0.0,5,2,3,3,3,5,4,4,-0.07021242884627531,0
41,42,U369541,Sproul,PA,Blair,16682,40.26608,-78.45782,23,Suburban,America/New_York,"Production designer, theatre/television/film",3.0,53.27574750830565,"Some College, 1 or More Years, No Degree",Retired,52887.26,Married,Male,No,6.522328696,16,2,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,0.0,105.9429467,892.8964931,3,3,2,3,5,4,3,3,0.5270024343223881,0
42,43,S896111,Springer,OK,Carter,73458,34.35204,-97.25336,895,Suburban,America/Chicago,Analytical chemist,4.0,41.0,Master's Degree,Full Time,12003.33,Divorced,Male,Yes,11.1979215,11,1,2,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),3.924254455,253.7918326,1125.581944,3,3,3,5,1,4,3,4,-1.1367120430106536,2
43,44,K227200,Homer City,PA,Indiana,15748,40.52449,-79.08432,6699,Suburban,America/New_York,Print production planner,4.0,53.27574750830565,"Some College, Less than 1 Year",Retired,24090.62,Never Married,Male,No,8.561096928,13,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,18.55959629,192.7622768,2016.710031,3,3,3,3,4,3,3,4,-0.6448366444194982,2
44,45,E818912,New York,NY,New York,10035,40.7955,-73.92968,35743,Rural,America/New_York,Psychiatrist,0.0,53.27574750830565,"Some College, 1 or More Years, No Degree",Full Time,39936.76222636489,Never Married,Female,Yes,13.89466275,6,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),8.798394712,243.3707028,1412.736809,4,4,4,4,3,4,3,4,1.1843397656906803e-15,2
45,46,Y490834,Sagola,MI,Dickinson,49881,46.07835,-88.03348,320,Urban,America/Menominee,"Conservation officer, nature",2.0,44.0,Regular High School Diploma,Full Time,39936.76222636489,Divorced,Female,Yes,10.87564115,5,1,0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,10.377366,245.4671211,0.0,3,3,2,2,4,3,5,2,1.1843397656906803e-15,0
46,47,B609739,Peoria,IL,Peoria,61606,40.6998,-89.61143,7870,Suburban,America/Chicago,Broadcast presenter,0.0,23.0,Associate's Degree,Retired,132116.33,Divorced,Male,Yes,12.60910718,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),22.25746016,185.0719404,2384.885909,4,4,5,2,2,4,3,3,3.7511188728505074,0
47,48,E687638,Acme,WA,Whatcom,98220,48.68497,-122.19692,861,Suburban,America/Los_Angeles,Applications developer,0.0,43.0,Regular High School Diploma,Full Time,37358.13,Never Married,Female,Yes,9.315148629,11,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),9.427146079,194.5713157,1213.940165,4,5,3,4,3,3,4,3,-0.10493383993957414,0
48,49,E492264,Chattanooga,TN,Hamilton,37416,35.10444,-85.17661,15364,Rural,America/New_York,"Librarian, public",0.0,86.0,"Some College, 1 or More Years, No Degree",Part Time,26534.16,Separated,Female,No,8.561161123,11,2,2,No,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),7.760290062,105.6553743,740.010722,3,4,3,2,3,3,3,3,-0.5454001941090123,2
49,50,W255321,Harvey,ND,Wells,58341,47.77527,-99.85,2589,Suburban,America/Chicago,Financial adviser,2.0,84.0,Bachelor's Degree,Full Time,39936.76222636489,Married,Female,No,12.37711977,14,0,1,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,11.56938439,92.42950948,897.9716153,3,3,4,3,5,3,3,4,1.1843397656906803e-15,0
50,51,S72442,Goodwater,AL,Coosa,35072,33.08977,-86.06138,4901,Urban,America/Chicago,"Surveyor, building",2.0,53.27574750830565,"9th Grade to 12th Grade, No Diploma",Retired,39936.76222636489,Separated,Female,Yes,9.523347957,13,3,0,No,Month-to-month,Yes,No,DSL,No,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),3.343811019,185.545865,1026.387172,2,2,3,4,3,5,2,4,1.1843397656906803e-15,0
51,52,O845020,Lexington,NC,Davidson,27292,35.73451,-80.20925,39649,Urban,America/New_York,"Horticulturist, amenity",5.0,68.0,Doctorate Degree,Full Time,43820.85,Divorced,Female,Yes,8.546827521,12,1,0,No,Month-to-month,Yes,No,None,No,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),7.338869531,188.1878188,1234.244324,2,3,3,5,4,2,3,2,0.1580575316567914,0
52,53,D805597,Transylvania,LA,East Carroll,71286,32.6644,-91.19645,456,Suburban,America/Chicago,Diagnostic radiographer,1.0,59.0,"9th Grade to 12th Grade, No Diploma",Student,38391.55,Never Married,Female,No,2.663660525,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,5.486534225,148.4154058,727.3731845,4,4,4,3,4,2,5,4,-0.06288025518963643,0
53,54,R189303,Jolley,IA,Calhoun,50551,42.47954,-94.75105,94,Urban,America/Chicago,"Doctor, general practice",0.0,31.0,Regular High School Diploma,Full Time,44137.6,Separated,Female,Yes,8.505759564,6,0,0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),1.55278221,167.3108222,452.8721504,4,4,3,4,4,4,2,3,0.17094723087834962,1
54,55,N142854,Miller,NE,Buffalo,68858,40.95947,-99.37702,315,Urban,America/Chicago,Insurance risk surveyor,0.0,51.0,"Some College, 1 or More Years, No Degree",Full Time,39936.76222636489,Widowed,Male,Yes,7.93962081,11,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,12.07970325,158.9035122,1296.674543,4,2,4,5,4,3,3,4,1.1843397656906803e-15,0
55,56,F522569,Welch,WV,McDowell,24801,37.44262,-81.57762,4969,Suburban,America/New_York,Heritage manager,1.0,58.0,"Some College, 1 or More Years, No Degree",Full Time,62359.91,Separated,Female,No,12.13605498,11,1,1,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,13.98666226,131.1822001,1840.628269,3,4,3,6,3,4,5,3,0.9124787068751696,1
56,57,L384793,Alvin,TX,Brazoria,77511,29.38147,-95.24205,46869,Suburban,America/Chicago,Legal executive,1.0,73.0,"9th Grade to 12th Grade, No Diploma",Full Time,82634.86,Married,Male,Yes,9.531952076,11,0,1,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,9.563362997,116.095233,1324.330108,5,4,3,5,3,3,5,4,1.7375395031881353,0
57,58,C101444,Goleta,CA,Santa Barbara,93117,34.49127,-120.08222,58431,Rural,America/Los_Angeles,Professor Emeritus,0.0,33.0,Bachelor's Degree,Full Time,15690.25,Widowed,Female,No,11.31019855,11,0,1,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,6.732948946,142.3770231,958.1397059,4,5,5,5,4,4,4,5,-0.9866779787519403,2
58,59,E987442,Racine,WI,Racine,53403,42.68864,-87.82515,26182,Suburban,America/Chicago,Radio producer,1.0,53.27574750830565,Regular High School Diploma,Full Time,14568.7,Separated,Male,Yes,11.23344836,15,2,0,No,Two Year,Yes,No,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),15.72071086,221.1610613,0.0,3,5,3,2,4,5,5,4,-1.032317890865401,2
59,60,L54611,Chauncey,GA,Dodge,31011,32.12693,-83.06218,694,Rural,America/New_York,Barrister's clerk,0.0,49.0,"9th Grade to 12th Grade, No Diploma",Student,39936.76222636489,Never Married,Female,No,9.276154842,9,1,0,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Electronic Check,7.233605493,125.8287767,676.712908,5,5,3,4,4,5,5,4,1.1843397656906803e-15,2
60,61,L85018,Porum,OK,Muskogee,74455,35.3619,-95.26371,3093,Suburban,America/Chicago,"Engineer, automotive",1.0,26.0,"Some College, 1 or More Years, No Degree",Unemployed,55319.23,Never Married,Female,No,7.273891516,12,1,0,No,One year,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Mailed Check,2.871017037,163.8522919,1086.990308,5,5,4,4,3,4,4,4,0.6259680596289484,1
61,62,O942919,Delavan,IL,Tazewell,61734,40.37342,-89.52646,2765,Urban,America/Chicago,Recruitment consultant,1.0,25.0,Bachelor's Degree,Full Time,81831.49,Widowed,Male,No,39.88390274,10,3,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,2.344875382,225.2947474,704.7540406,3,4,3,2,3,4,2,4,1.704847482150651,0
62,63,I167253,Harveys Lake,PA,Luzerne,18618,41.37478,-76.03486,3757,Rural,America/New_York,Commercial horticulturist,0.0,42.0,"Some College, 1 or More Years, No Degree",Full Time,100076.65,Separated,Female,Yes,8.599583947,14,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,7.960490246,150.2616031,1416.444695,5,5,5,4,3,2,4,4,2.4473088070100197,0
